Customer_ID,Full_Name,Age,Email,Phone,Total_Spent,Join_Date
CUST-0022,Dũng Bảo Hoàng,36,mhoang@nguyen.net,0983561595ABC,831.11,2025-07-22
CUST-0023,Nhật Vũ,57,zdang@hotmail.com,0948236629,886.6,2025-05-10
CUST-0024,Thành Mai,41,jane36@duong.com,0987214895,581.58,2024-05-05
CUST-0025,Bà Mai Phạm,63,nguyenjohn@hoang.com,0976936763,78.86,2024-06-16
CUST-0026,Xuân Trần,60,johnmai@yahoo.com,0908317278,235.62,2025-05-02
CUST-0027,Bảo Bảo Mai,36,janeduong@yahoo.com,0934873471,985.37,2025-08-30
CUST-0028,Quang Vũ,32,john22@gmail.com,0962316658,867.82,2025-02-18
CUST-0029,An Hoàng Bùi,42,hoangjane@yahoo.com,0905466889,285.19,2026-01-20
CUST-0030,Quý cô Mai Vũ,58,ynguyenyahoo.com,0962729806,835.77,2025-05-27
CUST-0031,Hương Bùi,28,dle@bui.info,0955646417,376.48,2024-03-09
CUST-0032,Linh Phạm,31,nguyenjohn@nguyen.com,0927193745,673.47,2024-07-02
CUST-0033,Bảo Vũ,62,vujane@pham.org,0931491905,937.29,2025-04-11
CUST-0034,Hải Phú Trần,59,buijane@gmail.com,0965726284,80.69,2025-06-15
CUST-0035,Quý ông Huy Hoàng,58,john14@yahoo.com,0937996507,179.43,2025-12-14
CUST-0036,Phúc Mai Bảo Phạm,64,jane49@hotmail.com,0948083136,252.36,2025-03-08
CUST-0037,Quý cô Dương Dương,47,,0963495788,385.66,2024-11-16
CUST-0038,Nhật Tấn Đặng,58,jane43@gmail.com,0935182337,691.28,2024-09-24
CUST-0039,Tú Phạm,32,janele@yahoo.com,0908240084,687.77,2025-08-17
CUST-0040,Quý cô Hà Nguyễn,21,cduong@yahoo.com,0920471167,-298.92,2024-04-20
CUST-0041,,20,phamjohn@hotmail.com,0969993867,807.0,2026-01-28
CUST-0042,Bác Nhiên Bùi,43,hoangjohn@gmail.com,0934123281,275.06,2024-06-23
CUST-0043,Hồng Dương,31,john34@hotmail.com,0947134936ABC,914.0,2024-05-22
CUST-0044,Chị Xuân Vũ,54,nguyenjohn@hoang.info,0917464887,877.6,2025-01-28
CUST-0045,Khoa Nguyễn,38,jane01@gmail.com,0999049027,220.5,2025-04-01
CUST-0046,Bác Phúc Hoàng,49,etran@yahoo.com,0965512567,401.68,2024-10-03
CUST-0047,Phương Thị Dương,59,jane51@mai.com,0987603859,-35.38,2025-10-02
CUST-0048,Quý ông Hưng Phạm,34,janeduong@hotmail.com,0971093248,148.23,2024-03-04
CUST-0049,,65,lejane@hotmail.com,0948467737,565.75,2025-04-26
CUST-0050,Quý cô Lâm Hoàng,34,vujane@mai.com,0944997278,749.54,2025-03-05
CUST-0051,Dũng Hữu Dương,45,johnhoang@yahoo.com,0936057662,898.84,2025-03-13
CUST-0052,Lan Mai,43,duongjohn@hotmail.com,0970262174,368.38,2024-11-11
CUST-0053,Hải Quang Đặng,26,jane80@hotmail.com,0913431611,514.43,2025-02-01
CUST-0054,Bà An Nguyễn,23,vujane@yahoo.com,0962386922,758.22,2024-07-07
CUST-0055,Khoa Bùi,25,jhoang@duong.com,0907482175ABC,161.31,2025-05-24
CUST-0056,Huy Vũ,28,john67@gmail.com,0936959440,794.16,2025-11-28
CUST-0057,Hạnh Văn Hoàng,45,xvu@hoang.com,0994210470,600.44,2025-05-18
CUST-0058,Hoàng Quang Vũ,-5,mle@gmail.com,0985884247,387.8,2025-11-10
CUST-0059,Dũng Trần,47,lejohn@hotmail.com,0968516048,533.82,2024-05-28
CUST-0060,Bác Anh Hoàng,53,john37@gmail.com,0998593174,862.17,2025-07-11
CUST-0061,Hà Trí Nguyễn,18,jane11@mai.info,0958692617,683.48,2025-06-15
CUST-0062,Hạnh Thị Đặng,25,pduongtran.com,0906431713,684.89,2025-07-05
CUST-0063,Ngọc Đặng,52,johntranhoang.com,0952904228,753.37,2024-09-04
CUST-0064,Cô Hải Nguyễn,59,dangjohn@nguyen.com,0926811775,346.77,2025-03-27
CUST-0065,Nhật Mai,36,,0966177115,440.42,2025-06-09
CUST-0066,Cô Bảo Vũ,47,hhoang@yahoo.com,0978961183,13.21,2025-01-22
CUST-0067,Anh Huy Đặng,64,,0956545271,877.09,2024-05-03
CUST-0068,Hà Bùi,34,,0904945198,972.17,2024-08-06
CUST-0069,Quý cô Lâm Trần,29,john49@gmail.com,0968998094,512.6,2024-03-16
CUST-0070,Bà Nhật Vũ,24,john22@hotmail.com,0961201836,871.81,2025-01-14
CUST-0071,Bác Phúc Đặng,37,,0990147679ABC,843.25,2025-01-31
CUST-0072,Hạnh Hoàng Mai,50,jane14@mai.com,0903690034,-216.96,2024-08-05
CUST-0073,Bà Hạnh Đặng,27,duongjane@le.com,0988516060,380.17,2025-02-14
CUST-0074,Thành Hoàng,28,sbui@gmail.com,0960529751,543.99,2025-01-27
CUST-0075,Lâm Bùi,51,buijane@hotmail.com,0953521818,919.31,2025-03-25
CUST-0076,Bà Linh Lê,56,lejane@le.com,0927799799,330.91,2024-10-31
CUST-0077,Hoàng Mai Trần,19,yvu@yahoo.com,0990581477,120.75,2024-03-23
CUST-0078,,41,hoangjane@hoang.com,0979359782,879.93,2024-04-11
CUST-0079,Ông Dũng Trần,37,phamjane@mai.org,0925546659ABC,247.06,2024-04-03
CUST-0080,Vũ Tấn Trần,33,jane92@yahoo.com,0919254629,879.23,2025-08-26
CUST-0081,Hạnh Mai,23,john81@hotmail.com,0968505423,94.8,2024-11-14
CUST-0082,Anh Quang Lê,49,vujohn@dang.org,0929622292,817.86,2025-09-05
CUST-0083,Ông Huy Đặng,52,shoang@pham.com,0947359774,768.18,2025-10-19
CUST-0084,Phương Bảo Lê,26,janenguyen@dang.com,0981412478,663.15,2024-06-16
CUST-0085,Hà Hải Dương,53,buijohn@yahoo.com,0985361530,173.48,2024-10-27
CUST-0086,Nhật Đặng,51,johnvu@le.info,0979010432,873.71,2025-04-24
CUST-0087,Hà Thế Phạm,-10,nguyenjohn@yahoo.com,0997117980,964.72,2025-06-27
CUST-0088,Chị Thảo Bùi,52,john96@tran.com,0988888067,-144.59,2024-03-27
CUST-0089,Thành Đức Nguyễn,62,dangjohn@hotmail.com,0919520585,209.14,2025-11-15
CUST-0090,,37,johnduong@vu.com,0930548687,405.0,2024-09-06
CUST-0091,Vi Phạm,60,john54@gmail.com,0956676527,653.38,2025-08-13
CUST-0092,Bác Minh Vũ,46,btran@mai.com,0915447962,-120.26,2025-08-11
CUST-0093,Bác Bảo Nguyễn,46,ovu@gmail.com,0916582029,129.79,2025-08-02
CUST-0094,,32,jane69@hoang.info,0955719285,73.39,2024-12-28
CUST-0095,Anh Hải Trần,19,janemai@mai.com,0947394731,592.43,2024-06-07
CUST-0096,Nhật Lê,32,dangjane@hotmail.com,0918844225,592.56,2025-03-24
CUST-0097,Cô Mai Lê,18,xnguyen@duong.org,0911467866,80.28,2025-11-23
CUST-0098,Bảo Đặng,58,rduong@le.org,0922680182,68.29,2024-10-16
CUST-0099,Chị Thành Phạm,22,,0984249818,906.37,2025-07-04
CUST-0100,Chị Bảo Hoàng,39,nguyenjohn@gmail.com,0994396907,80.15,2026-01-13
CUST-0101,,33,,0967735925,285.69,2025-12-23
CUST-0102,Quang Hữu Lê,49,dangjohn@yahoo.com,0914732104,222.09,2024-12-17
CUST-0103,Lâm Xuân Đặng,26,johnduong@hotmail.com,0977470168,726.12,2025-02-12
CUST-0104,,54,vujane@vu.com,0916245650,580.45,2024-12-30
CUST-0105,Duyên Mai,33,jane16@mai.org,0991216558,786.77,2026-02-21
CUST-0106,Hoàng Hoàng Hoàng,44,nguyenjohn@gmail.com,0957872982,198.51,2024-11-03
CUST-0107,Phúc Hữu Hoàng,24,jane94@yahoo.com,0905516940ABC,662.39,2025-05-31
CUST-0108,,40,hoangjane@mai.biz,0923091307,429.34,2024-10-23
CUST-0109,Bảo Bảo Phạm,47,tnguyen@gmail.com,0983857865,865.2,2024-07-06
CUST-0110,Bác Tùng Đặng,21,ppham@yahoo.com,0984344375,676.63,2025-03-01
CUST-0111,Tùng Đức Vũ,59,wbui@vu.com,0957473384,107.43,2026-02-16
CUST-0112,Hoàng Trần,43,johnmai@pham.biz,0957120826,730.93,2025-07-14
CUST-0113,Quý ông Trung Vũ,24,john19@gmail.com,0980262067,256.17,2024-07-16
CUST-0114,Hưng Nguyễn,30,dangjane@yahoo.com,0988728743,540.92,2025-11-12
CUST-0115,Thành Lê,26,john05@yahoo.com,0993296685,427.66,2024-04-30
CUST-0116,Hải Đức Lê,35,pdang@vu.com,0974549904,468.0,2025-07-14
CUST-0117,Quang Thị Trần,22,john68@hotmail.com,0941459332,448.7,2025-02-28
CUST-0118,Quý cô Nhật Hoàng,53,emai@hotmail.com,0933918785,106.93,2024-04-23
CUST-0119,,59,johndang@tran.com,0997187072,999.29,2025-03-27
CUST-0120,Nhật Thị Mai,18,john64@gmail.com,0939106518,969.31,2024-04-09
CUST-0121,Nhật Nguyễn,33,xle@gmail.com,0965676618,174.65,2024-06-05
CUST-0122,Tú Xuân Mai,49,johnnguyen@gmail.com,0947868633,486.54,2025-02-14
CUST-0123,Hoàng Đức Phạm,43,buijohn@pham.org,0907903067,903.42,2024-08-23
CUST-0124,Cô Lan Mai,28,janehoang@hotmail.com,0953428364,385.18,2024-09-23
CUST-0125,Vân Hoàng,42,fmai@dang.biz,0985662462,272.55,2025-09-30
CUST-0126,Anh Quang Vũ,47,jnguyen@bui.net,0926343517,292.4,2025-12-11
CUST-0127,Vũ Hoàng Nguyễn,62,mhoang@gmail.com,0913983735,957.74,2024-10-15
CUST-0128,Mai Phạm,-5,spham@bui.com,0946785445,665.25,2025-03-27
CUST-0129,Quý ông Tú Dương,49,janedang@yahoo.com,0909320489,163.25,2025-05-17
CUST-0130,Hạnh Trí Phạm,36,janehoang@gmail.com,0978547772,225.52,2025-09-14
CUST-0131,Phúc Trí Mai,21,johnmai@gmail.com,0910062312,583.39,2024-03-01
CUST-0132,Quý cô Linh Nguyễn,52,anguyen@hotmail.com,0986008484,70.35,2024-03-07
CUST-0133,,38,johnhoang@dang.biz,0915679334,66.59,2025-08-07
CUST-0134,Hải Nguyễn,55,ybui@nguyen.com,0921765918,482.02,2026-02-05
CUST-0135,Mai Phạm,51,john14@hotmail.com,0990250392,165.86,2025-09-29
CUST-0136,Hà Thế Lê,50,vmai@le.com,0985016315,89.31,2025-06-07
CUST-0137,Thành Văn Vũ,29,,0966296194,77.84,2025-11-03
CUST-0138,Cô Hương Vũ,22,vle@dang.com,0910475412,678.46,2024-04-30
CUST-0139,Quý cô Nhật Mai,33,nguyenjohn@yahoo.com,0981995604,409.74,2025-01-09
CUST-0140,Hà Hải Hoàng,54,ile@vu.com,0912646471,253.75,2024-11-29
CUST-0141,Quang Dương,56,itran@nguyen.org,0965756924,49.34,2024-10-29
CUST-0142,,23,jane79@gmail.com,0956465193,425.03,2025-05-27
CUST-0143,Cô Nhật Dương,55,,0924342661,569.57,2025-02-05
CUST-0144,Quý ông Tùng Mai,38,dangjohngmail.com,0935290965,935.36,2025-11-02
CUST-0145,Hà Văn Trần,31,johnduong@yahoo.com,0967982507,673.03,2024-05-14
CUST-0146,Huy Trần,38,,0957177514,246.3,2024-03-28
CUST-0147,An Đặng,43,johnmai@mai.net,0967362266,-267.45,2024-03-16
CUST-0148,Quý cô Duyên Bùi,59,phamjohn@yahoo.com,0919182553,307.0,2025-02-12
CUST-0149,Hạnh Dương,38,zhoang@hotmail.com,0915579249,929.73,2025-05-26
CUST-0150,Hải Lê,22,phamjane@gmail.com,0925286692ABC,19.22,2025-05-14
CUST-0151,Kim Xuân Dương,57,janevu@le.info,0990507236,998.47,2025-05-04
CUST-0152,Quý ông Châu Bùi,24,fle@hotmail.com,0903404384,-420.37,2024-07-02
CUST-0153,Quý ông Tùng Mai,31,vujane@duong.com,0961340745,-162.86,2025-12-23
CUST-0154,Nhật Trần,26,janehoang@le.com,0933095849,933.93,2025-04-16
CUST-0155,Bà Nhật Vũ,22,john26@gmail.com,0942232536,880.48,2025-03-09
CUST-0156,Bà Hải Bùi,41,otran@gmail.com,0968457759,292.14,2024-02-24
CUST-0157,Nhật Dương,46,maijane@gmail.com,0963745458,835.41,2025-05-16
CUST-0158,Quý cô Thành Nguyễn,63,,0906324241,309.49,2025-07-15
CUST-0159,Anh Quang Đặng,59,buijane@bui.com,0903712938,533.65,2025-08-04
CUST-0160,Ông Nam Đặng,60,ele@pham.com,0911554262,818.93,2025-07-05
CUST-0161,Cô Phương Hoàng,37,janedang@le.info,0931121965,932.44,2025-01-21
CUST-0162,Hoàng Hải Vũ,24,janenguyen@pham.net,0936403761,939.54,2024-08-28
CUST-0163,Ông Minh Nguyễn,26,john69@yahoo.com,0958271091,271.82,2024-03-04
CUST-0164,Trung Nguyễn,24,,0918892414,744.99,2024-04-24
CUST-0165,Chị Vân Đặng,27,vujane@hotmail.com,0930316179,279.62,2025-06-09
CUST-0166,Thảo Lê,56,lejohn@duong.net,0942524105,218.52,2025-11-10
CUST-0167,Hạnh Quang Vũ,39,gduong@nguyen.org,0925241913,211.56,2025-09-20
CUST-0168,Ngọc Nguyễn,58,duongjane@le.com,0986353654,854.38,2025-11-25
CUST-0169,Khoa Đặng,50,lejohn@bui.info,0944518705,493.65,2024-07-27
CUST-0170,Nhiên Vũ,21,ldang@pham.net,0932060385,-94.14,2025-06-30
CUST-0171,Linh Nguyễn,45,john38@gmail.com,0967024103,831.05,2026-01-19
CUST-0172,Nhật Phú Dương,20,maijohn@tran.org,0906234456,13.51,2025-08-20
CUST-0173,Dũng Mai Vũ,26,phamjohn@le.com,0977561853,640.74,2025-02-08
CUST-0174,Bảo Vũ,34,lejane@pham.com,0921356804,169.97,2024-09-12
CUST-0175,Cô Kim Dương,46,duongjohn@tran.com,0923651994,556.16,2026-02-04
CUST-0176,An Trần,45,fle@tran.com,0929667066,565.3,2024-07-06
CUST-0177,Trung Xuân Vũ,25,cle@hotmail.com,0999347687,84.49,2024-04-10
CUST-0178,Hạnh Bùi,62,ppham@mai.com,0978759856,904.89,2024-09-20
CUST-0179,Cô Thành Hoàng,52,,0932133480,45.67,2025-10-08
CUST-0180,Quý cô Linh Lê,150,janedang@dang.org,0929378427,586.68,2024-03-23
CUST-0181,An Phạm,27,maijane@dang.com,0925250029,435.49,2025-08-23
CUST-0182,Cô Phương Đặng,20,,0967528953,315.18,2025-07-23
CUST-0183,Quý cô Hạnh Vũ,20,johnhoang@hoang.com,0995939172,899.94,2024-11-06
CUST-0184,Lâm Đặng,31,johndang@yahoo.com,0904331541,685.25,2025-09-04
CUST-0185,Ngọc Bùi,60,,0965861793,111.77,2024-06-28
CUST-0186,Ông Hưng Vũ,53,jane11@le.com,0981599706,885.29,2025-07-14
CUST-0187,Quý cô Bảo Nguyễn,44,john36@vu.com,0906987205,974.1,2024-02-25
CUST-0188,Hà Thế Hoàng,65,johnnguyen@gmail.com,0924171467,163.01,2025-03-08
CUST-0189,Vũ Mai,33,janebui@yahoo.com,0927047743,865.96,2025-12-04
CUST-0190,Nhiên Nguyễn,29,tranjane@hoang.net,0906868793,882.6,2025-02-26
CUST-0191,Vũ Bùi,19,johnduong@le.com,0920616329,187.57,2024-09-10
CUST-0192,Vũ Quang Bùi,39,,0999861622,784.56,2025-05-08
CUST-0193,Hà Hoàng,44,jane64@duong.org,0970246299,804.21,2025-08-04
CUST-0194,An Hữu Đặng,65,duongjane@nguyen.com,0944713247,812.64,2025-10-16
CUST-0195,Anh Bảo Hoàng,35,janepham@duong.net,0950821486,167.61,2024-06-07
CUST-0196,Lan Phạm,62,phamjohn@nguyen.com,0945786103,117.01,2024-12-08
CUST-0197,Quý ông Phúc Dương,20,,0906029333,860.01,2025-08-02
CUST-0198,Bà Dương Bùi,32,duongjohn@hoang.com,0994466574,207.58,2024-08-10
CUST-0199,Bác Minh Hoàng,200,,0999441715,356.16,2024-09-24
CUST-0200,Anh Đức Vũ,32,johnnguyen@dang.com,0907446660,230.69,2025-05-20
CUST-0201,Bà Yến Phạm,60,jane28@gmail.com,0941724825,201.2,2025-07-15
CUST-0202,Lâm Đặng,39,jane55@hoang.com,0970999173,285.82,2025-03-17
CUST-0203,Hải Bùi,22,jnguyen@gmail.com,0935697252ABC,967.22,2025-10-20
CUST-0204,Nhật Đặng,35,john07@pham.com,0971296666,357.63,2025-02-27
CUST-0205,An Thị Mai,50,,0935421689,405.68,2024-10-17
CUST-0206,Cô An Vũ,52,mmai@hotmail.com,0956257532,337.84,2026-01-27
CUST-0207,An Hải Phạm,19,johnhoang@tran.com,0964890901ABC,124.19,2025-07-14
CUST-0208,Ngọc Trần,34,hbui@hotmail.com,0947230461,186.78,2025-07-21
CUST-0209,Trọng Hoàng,34,gtran@vu.com,0973934835,47.87,2025-08-22
CUST-0210,Hạnh Xuân Nguyễn,56,janedang@gmail.com,0900119721,440.22,2025-10-20
CUST-0211,Nhật Trần,64,janevu@yahoo.com,0970120455,788.56,2025-01-18
CUST-0212,Hà Nguyễn,45,johndang@duong.com,0955216674,610.15,2025-12-03
CUST-0213,Nhật Mai Bảo Bùi,50,,0997296590,124.49,2025-12-23
CUST-0214,Quý cô Nhật Trần,54,enguyen@yahoo.com,0950899358,198.18,2025-04-04
CUST-0215,Kim Phạm,20,jane28@hotmail.com,0900287721,711.7,2025-09-28
CUST-0216,Bác Quang Đặng,18,maijohn@hotmail.com,0966317797,524.72,2024-05-01
CUST-0217,Quý ông Dũng Trần,52,tranjane@yahoo.com,0908801994,689.99,2026-01-14
CUST-0218,Quý cô Linh Đặng,65,janedang@dang.info,0911305548,739.67,2025-04-03
CUST-0219,Tú Thị Lê,30,janetran@yahoo.com,0993316373,370.58,2025-09-01
CUST-0220,Tú Bảo Nguyễn,22,qduong@duong.com,0986978292,949.39,2025-09-12
CUST-0221,Cô Kim Hoàng,39,mbui@hotmail.com,0934654722,626.92,2025-01-08
CUST-0222,Tùng Đặng,60,johnhoang@dang.com,0988515879,849.54,2025-05-11
CUST-0223,Hải Thế Bùi,64,,0924420438,901.05,2024-03-19
CUST-0224,Bảo Đức Hoàng,50,gpham@nguyen.biz,0958004397,-213.99,2025-11-28
CUST-0225,Bà Vi Hoàng,44,janeduong@tran.net,0916064842,332.92,2024-06-26
CUST-0226,Nam Đặng,62,johnleyahoo.com,0990947985,302.7,2024-04-19
CUST-0227,Minh Hải Lê,26,janemai@tran.com,0935554398,199.92,2025-02-25
CUST-0228,Hương Đặng,60,johnnguyen@hotmail.com,0956164840,940.96,2026-01-30
CUST-0229,Minh Mai Dương,61,john58@tran.net,0980133613,750.65,2025-04-15
CUST-0230,Hải Quang Lê,29,,0948193466,619.36,2025-02-07
CUST-0231,Kim Tấn Nguyễn,37,,0991901581,412.01,2024-10-05
CUST-0232,Trọng Trần,18,,0907283268,310.84,2024-10-09
CUST-0233,Bà Hải Đặng,31,johnnguyen@hoang.biz,0988143536,435.59,2026-01-26
CUST-0234,Chị Bảo Phạm,55,johnle@hotmail.com,0990878141,610.59,2024-09-04
CUST-0235,Lâm Hoàng,38,jane23@gmail.com,0949135775,470.34,2025-06-15
CUST-0236,Nhiên Lê,46,,0933645257,-427.59,2025-02-16
CUST-0237,Bác Khoa Dương,50,johnvu@mai.com,0910809969,478.45,2024-08-06
CUST-0238,Vân Vũ,65,janebui@gmail.com,0994278816,177.99,2024-12-01
CUST-0239,Dương Phạm,23,janele@hoang.com,0975037314,290.95,2024-12-05
CUST-0240,Cô Dương Phạm,60,dduonggmail.com,0905184498,636.61,2025-05-10
CUST-0241,Quý cô Hải Bùi,39,maijane@yahoo.com,0938655779,102.45,2024-02-28
CUST-0242,,33,john22@dang.com,0936517773,676.07,2025-05-26
CUST-0243,Quý cô An Phạm,32,johnle@hoang.com,0924286990,808.5,2026-01-05
CUST-0244,Vũ Phạm,27,kduong@gmail.com,0969292984,34.18,2024-07-02
CUST-0245,Bảo Quang Phạm,33,gle@gmail.com,0938862912,984.1,2025-02-26
CUST-0246,Xuân Mai,-10,duongjohn@bui.biz,0950863765,851.24,2025-05-25
CUST-0247,Kim Lê,22,fpham@yahoo.com,0998643009,-335.18,2025-04-03
CUST-0248,Phương Nguyễn,58,janebui@yahoo.com,0912694486,579.91,2025-05-06
CUST-0249,Trọng Đức Bùi,63,ymai@le.net,0987449562,699.39,2025-12-18
CUST-0250,Nhật Phạm,49,johnpham@hotmail.com,0965890260,405.66,2025-11-08
CUST-0251,Bảo Dương,27,,0951906698,659.5,2024-10-02
CUST-0252,Vi Lê,18,mnguyen@hotmail.com,0984309883,893.73,2025-06-14
CUST-0253,Cô Thành Phạm,24,johnvu@dang.biz,0969380118,780.64,2024-09-30
CUST-0254,Quang Đức Phạm,32,kbui@vu.biz,0981818451,184.13,2025-11-07
CUST-0255,Tùng Hoàng,62,kbui@yahoo.com,0935779071,522.78,2024-09-10
CUST-0256,Kim Phạm,21,jane58vu.com,0916518275,561.83,2024-11-23
CUST-0257,Bà Lan Phạm,25,johnpham@yahoo.com,0933339521ABC,461.9,2024-05-26
CUST-0258,Hải Dương,47,duongjaneduong.com,0972846392,670.9,2024-04-05
CUST-0259,Nhật Thị Mai,53,dle@gmail.com,0987500369,599.5,2024-05-11
CUST-0260,Quang Đức Lê,46,janeduong@hotmail.com,0955276365ABC,616.53,2024-12-02
CUST-0261,Hạnh Mai Lê,64,johnvu@mai.biz,0932270267,893.1,2024-06-06
CUST-0262,,45,stran@nguyen.com,0971754558,832.26,2025-05-01
CUST-0263,Quang Nguyễn,53,dangjohn@hotmail.com,0998245587ABC,451.45,2025-10-16
CUST-0264,Ông Thành Hoàng,28,kle@hotmail.com,0956996112,746.22,2024-11-15
CUST-0265,Bà Linh Vũ,48,cvu@yahoo.com,0998762202,455.57,2025-09-10
CUST-0266,Bà Yến Trần,150,janetran@tran.net,0900681149,841.46,2024-06-22
CUST-0267,Hải Bùi,35,johnvu@yahoo.com,0922820055,768.16,2025-12-25
CUST-0268,Quý ông Tùng Vũ,51,johnhoang@hotmail.com,0979688457,489.75,2025-04-17
CUST-0269,Cô Chi Vũ,33,jvu@yahoo.com,0900825478,281.85,2024-02-29
CUST-0270,Quý ông Khoa Nguyễn,22,john08@yahoo.com,0936866326,716.41,2025-11-27
CUST-0271,Lâm Đức Trần,33,janevu@hotmail.com,0984631224,279.0,2024-05-18
CUST-0272,Quý ông Anh Hoàng,38,,0908021442,894.1,2025-08-31
CUST-0273,Ông Quang Trần,23,duongjohn@bui.info,0957051204ABC,-446.15,2025-10-17
CUST-0274,,32,jane01@bui.com,0937183764,389.2,2026-02-19
CUST-0275,Phúc Thị Mai,27,jane43@nguyen.com,0965024916,709.35,2025-10-27
CUST-0276,Cô Ngọc Hoàng,22,janetran@gmail.com,0927195005,420.72,2025-07-07
CUST-0277,Cô Bảo Dương,39,jane73@bui.com,0940778487,547.19,2024-07-19
CUST-0278,Bà Thành Dương,44,johnmai@gmail.com,0974485708,71.64,2024-12-13
CUST-0279,Cô Khoa Đặng,44,,0929456511,395.58,2025-04-04
CUST-0280,An Lê,55,,0996789940,946.6,2024-12-03
CUST-0281,Cô Ngọc Phạm,19,duongjohn@yahoo.com,0986509480,858.16,2025-09-15
CUST-0282,Hạnh Trần,54,tranjohn@pham.net,0939288619,386.58,2024-11-27
CUST-0283,Quý ông Tú Lê,18,vmai@mai.com,0958556659,943.31,2024-08-27
CUST-0284,Quý cô Vi Mai,37,jane76@gmail.com,0904908240,755.94,2024-10-13
CUST-0285,Chị Ánh Đặng,44,john10@dang.com,0945933441,542.84,2025-05-11
CUST-0286,Khoa Hoàng Trần,65,,0991940961,550.67,2025-10-20
CUST-0287,Xuân Đặng,56,hbui@gmail.com,0990604805,898.83,2025-04-17
CUST-0288,Bà Phương Phạm,49,,0962251790,227.23,2025-04-23
CUST-0289,Hạnh Quang Bùi,45,johnduong@hotmail.com,0937693898,490.79,2024-09-01
CUST-0290,Cô Thảo Bùi,42,tranjane@yahoo.com,0955355904,342.77,2024-07-03
CUST-0291,Trọng Mai Hoàng,61,onguyen@dang.com,0910392405,800.16,2025-08-14
CUST-0292,Hạnh Dương,64,dangjohn@hotmail.com,0983388487ABC,173.39,2025-06-20
CUST-0293,Cô Kim Hoàng,47,john04@hoang.info,0901645104,920.35,2025-12-27
CUST-0294,Lâm Hữu Mai,57,jane98le.net,0978003845,538.78,2025-03-09
CUST-0295,Nhật Xuân Nguyễn,43,,0940460843,595.97,2024-06-19
CUST-0296,Thành Trí Trần,60,janepham@hotmail.com,0926495782,36.83,2024-08-01
CUST-0297,Chị Bảo Vũ,59,ple@dang.net,0912520566,434.33,2024-10-15
CUST-0298,Bác Hoàng Phạm,47,johnnguyen@hoang.com,0993305172,189.91,2025-03-19
CUST-0299,Bác Phúc Bùi,34,kle@gmail.com,0930604633,385.31,2025-10-03
CUST-0300,Cô Lan Dương,31,jane36@yahoo.com,0909656999,-100.28,2025-04-14
CUST-0301,Vân Trần,39,pnguyen@hotmail.com,0986086803,763.62,2024-10-06
CUST-0302,Quý ông Khoa Vũ,42,janevu@hotmail.com,0908277181,285.47,2024-07-11
CUST-0303,Quý cô Kim Đặng,44,lejane@hotmail.com,0937145211,259.75,2024-05-21
CUST-0304,Bác Vũ Mai,23,janemai@yahoo.com,0902592222,475.6,2025-10-12
CUST-0305,Hồng Vũ,65,ovu@gmail.com,0912309407,544.02,2025-03-15
CUST-0306,Ông Trọng Dương,40,janeduong@duong.org,0990384983,231.98,2024-03-31
CUST-0307,Chị An Đặng,22,johnhoang@dang.com,0962249998,783.42,2024-07-09
CUST-0308,Bác Hưng Trần,59,jane61@yahoo.com,0981472145ABC,49.86,2025-04-07
CUST-0309,Phương Hoàng Phạm,19,hoangjohnhoang.com,0969548995,950.12,2026-02-12
